High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
9869.87,9858.64,9855.5,9855.5,9861.207166,4.00293747,39473.79566
9858.82,9858.82,9858.82,9858.82,9858.82,0.01694729,167.0802816
9868.58,9867.41,9867.41,9868.58,9868.488461,0.12953182,1278.283271
9872.29,9872.29,9859.23,9859.23,9872.034492,0.70697584,6979.289877
9865.07,9865.07,9865.07,9865.07,9865.07,0.0784521,773.9354582
9869.59,9869.55,9869.55,9869.59,9869.550011,5.12159943,50547.88171
9880.53,9869.99,9869.99,9876.03,9874.156113,0.30837309,3044.924032
9870.2,9870.2,9866.77,9867.1,9868.596567,0.29536195,2914.807926
9864.51,9861.46,9842.37,9853.9,9852.981605,5.59226275,55100.46201
9865.22,9857.48,9856.19,9856.19,9859.666505,1.36617266,13470.00682
9867.57,9867.57,9853.08,9855.85,9854.876395,2.45406024,24184.46033
9865.72,9862.72,9862.23,9862.23,9865.196094,3.05600579,30148.09638
9865.72,9865.72,9857.87,9857.87,9863.997136,0.11011859,1086.209456
9862.89,9862.89,9857.63,9857.63,9858.048813,1.04305,10282.43781
9862.89,9862.89,9861.72,9861.72,9862.88211,0.51189193,5048.729759
9861.72,9861.72,9857.82,9857.82,9861.583567,0.01739915,171.5831717
9856.88,9856.88,9856.8,9856.8,9856.826504,0.00986531,97.24064908
9856.8,9856.8,9846.5,9846.5,9847.211969,1.68760678,16618.22168
9853.92,9853.92,9834.64,9834.64,9849.600384,0.02799721,275.7613304
9842.37,9842.37,9826.77,9838.81,9829.085742,2.10030119,20644.04048
9846.35,9823.88,9821.13,9846.35,9839.010174,1.52215062,14976.45544
9857.9,9846.35,9846.35,9857.9,9847.997035,0.03485517,343.2536108
9853.16,9850.78,9836.78,9836.78,9838.478704,0.02862265,281.6033325
9840.66,9840.66,9840.66,9840.66,9840.66,0.00089848,8.841636197
9841.35,9841.35,9833.22,9839.92,9840.786558,0.17885661,1760.089724
9830.85,9830.85,9821.25,9821.25,9825.310984,7.07281978,69492.65387
9848.79,9829,9829,9842.45,9837.697971,1.79714447,17679.76451
9842.45,9842.45,9830.27,9830.27,9831.191962,0.58522893,5753.497952
9857.16,9849.02,9849.02,9857.16,9850.067865,0.26936672,2653.280472
9854.08,9854.08,9831.91,9840.78,9836.027537,1.14214044,11234.12482
9840.69,9840.69,9821.97,9821.97,9824.757206,3.2845137,32269.54964
9835.15,9835.15,9823.67,9823.67,9833.151925,0.17493218,1720.134702
9821.06,9821.06,9775.83,9781.17,9792.574694,15.08638937,147734.5948
9799.42,9787.83,9787.83,9794.05,9794.836902,2.71269042,26570.36023
9803.42,9803.42,9790.66,9798.74,9796.468807,12.01903272,117744.0791
9808,9808,9790.33,9790.33,9793.426235,3.36850515,32989.20671
9794.33,9794.33,9782.86,9787.89,9784.692582,0.38702587,3786.929159
9800.38,9776.58,9776.58,9800.38,9787.53779,0.96153756,9411.085205
9798.41,9798.41,9786.08,9786.08,9796.089641,0.01095574,107.3234111
9794.41,9794.41,9777.98,9777.98,9783.173057,0.94010166,9197.177231
9793.58,9788.41,9774.73,9777.25,9782.649864,13.20552818,129185.0585
9788.82,9773.63,9773.63,9788.82,9775.060474,1.33538059,13053.42602
9787.65,9787.65,9784.54,9784.54,9787.611456,0.19906716,1948.392016
9791.71,9776.11,9776.11,9791.71,9781.196401,0.77722863,7602.225879
9797.99,9797.45,9793.78,9797.49,9797.616998,0.13775367,1349.657699
9804.61,9802.07,9800.27,9804.25,9800.28446,1.79361382,17577.92565
9797.85,9794.88,9792.22,9795.52,9795.361046,0.36712754,3596.146804
9795.51,9794.97,9791.32,9791.73,9794.779066,0.90382132,8852.730144
9791.82,9791.82,9790.6,9791.82,9791.813878,1.23908368,12132.87677
9801.34,9797.64,9791.99,9791.99,9800.403352,1.85262335,18156.45609
9800.48,9800.48,9800.45,9800.45,9800.473652,0.06341967,621.5428049
9802.65,9786.07,9786.07,9802.25,9794.485136,0.05409073,529.790851
9802.21,9802.21,9786.04,9789.02,9787.369407,0.89166851,8727.089096
9789.02,9789.02,9789.02,9789.02,9789.02,0.01377343,134.8283817
9781.27,9780.93,9780.93,9781.27,9780.932255,0.54261199,5307.251115
9806.3,9787,9787,9806.3,9791.025793,1.24985451,12237.35775
9811.05,9806.3,9792.9,9797.12,9802.321001,0.10661678,1045.091902
9815.59,9795.4,9790.48,9815.59,9800.222254,0.95550027,9364.11501
9817.36,9815.07,9810.61,9817.36,9817.319185,1.51143096,14838.20016
9823.64,9823.64,9822.25,9822.25,9823.47608,0.26401451,2593.540224
9821.41,9821.41,9820.36,9820.36,9821.366907,0.07485634,735.1915805
9817.57,9817.57,9804.72,9804.72,9805.363594,0.06288192,616.5800891
9810.04,9807.73,9801.99,9809.28,9804.44873,4.6817217,45901.70038
9819.64,9795.6,9795.6,9819.64,9812.079391,5.55834846,54538.95637
9817.43,9801.7,9801.7,9817.43,9815.792485,0.33309,3269.542319
9825.89,9822.69,9805.98,9816.16,9821.815607,1.84276192,18099.26779
9823.25,9815.17,9815.17,9823.17,9821.393436,2.50973186,24649.06402
9822.74,9822.74,9811.17,9811.17,9814.846704,0.11460858,1124.865644
9837.27,9819.45,9818.06,9818.06,9820.501672,1.09177135,10721.74237
